area_sqft,bedrooms,bathrooms,age_years,parking,location,furnished,property_type,price
1779.0,3,2.0,32,yes,suburban,yes,apartment,262100
796.0,2,2.0,39,no,suburban,no,apartment,74900
2127.0,4,3.0,10,no,rural,no,house,294300
1386.0,3,3.0,33,yes,suburban,yes,apartment,168600
963.0,1,1.0,34,yes,urban,yes,house,151200
1103.0,2,1.0,30,no,urban,no,apartment,118300
1426.0,3,2.0,28,yes,urban,yes,house,220300
1160.0,3,,16,no,suburban,yes,house,216300
1886.0,3,2.0,37,yes,downtown,no,apartment,274900
965.0,2,1.0,8,yes,urban,yes,house,198500
1662.0,4,2.0,4,no,urban,yes,house,353600
2437.0,6,4.0,16,no,downtown,no,apartment,413900
1603.0,3,2.0,25,yes,suburban,no,house,275800
1950.0,4,4.0,34,yes,,no,villa,314000
1886.0,3,3.0,22,no,suburban,yes,apartment,246000
516.0,1,1.0,7,yes,urban,no,house,130900
2065.0,3,2.0,15,yes,rural,yes,house,315700
1386.0,3,2.0,8,yes,urban,no,house,202000
1871.0,4,3.0,16,yes,suburban,yes,apartment,313100
2002.0,2,1.0,38,yes,rural,no,apartment,237000
1684.0,3,3.0,8,yes,rural,no,apartment,247500
1553.0,3,1.0,5,yes,suburban,no,apartment,242900
809.0,2,1.0,3,no,urban,yes,villa,275200
1856.0,4,3.0,32,no,suburban,no,apartment,265900
1497.0,3,3.0,26,yes,suburban,yes,apartment,242800
1688.0,4,2.0,32,no,urban,yes,house,244900
1945.0,4,3.0,30,no,downtown,no,apartment,348400
891.0,2,1.0,11,yes,suburban,no,house,142700
1946.0,3,3.0,10,yes,urban,yes,apartment,328100
2145.0,4,2.0,12,no,downtown,no,house,316000
1259.0,2,1.0,33,yes,suburban,yes,apartment,197900
572.0,2,2.0,1,yes,urban,no,house,198900
2503.0,5,3.0,14,no,suburban,no,house,382000
1785.0,4,3.0,36,yes,suburban,yes,villa,278700
1696.0,4,3.0,35,yes,urban,yes,villa,247200
1454.0,4,3.0,8,no,suburban,no,house,273500
1141.0,4,3.0,11,,rural,yes,house,230300
1122.0,3,2.0,17,yes,rural,yes,apartment,165300
1516.0,2,3.0,36,no,urban,yes,apartment,244300
1484.0,3,2.0,1,no,rural,no,apartment,235900
1273.0,2,1.0,29,yes,urban,no,apartment,191200
1000.0,3,2.0,3,yes,downtown,no,house,299700
1525.0,3,2.0,7,yes,suburban,yes,house,281300
872.0,1,1.0,24,no,rural,no,apartment,99600
631.0,1,,33,yes,suburban,no,apartment,147800
731.0,2,1.0,36,no,rural,no,house,71500
617.0,1,1.0,40,yes,urban,yes,house,70000
1735.0,4,3.0,23,yes,suburban,no,house,272600
1054.0,2,2.0,18,yes,rural,no,apartment,162800
1817.0,4,3.0,35,yes,suburban,no,apartment,248600
1622.0,4,3.0,1,yes,rural,yes,house,320300
2302.0,6,4.0,10,yes,urban,yes,apartment,421300
1797.0,5,3.0,11,yes,suburban,no,house,335000
1820.0,4,3.0,1,no,urban,yes,apartment,363900
1156.0,2,1.0,36,yes,downtown,no,villa,263600
541.0,1,1.0,6,no,suburban,no,apartment,102800
1751.0,4,3.0,19,yes,rural,yes,apartment,319100
2017.0,4,3.0,40,yes,downtown,yes,house,344100
1229.0,3,2.0,27,no,urban,no,apartment,167000
1174.0,2,1.0,37,yes,rural,no,apartment,176500
1237.0,2,2.0,18,yes,rural,no,house,235400
1082.0,2,1.0,35,yes,suburban,no,villa,170800
2023.0,4,4.0,25,no,suburban,yes,apartment,318500
1363.0,2,2.0,37,yes,suburban,no,house,182500
1817.0,4,3.0,12,yes,urban,yes,apartment,367900
1605.0,4,3.0,25,yes,urban,yes,villa,309700
997.0,1,1.0,18,yes,urban,no,house,119500
2391.0,4,2.0,6,yes,suburban,yes,apartment,363000
1337.0,3,2.0,40,yes,urban,no,house,160400
1047.0,2,2.0,16,yes,downtown,yes,house,221500
2153.0,6,4.0,26,yes,rural,yes,house,349900
1774.0,3,2.0,0,yes,suburban,no,apartment,250900
1268.0,3,2.0,24,yes,suburban,no,apartment,150800
939.0,2,1.0,19,yes,suburban,no,house,229300
704.0,1,1.0,10,no,suburban,yes,villa,208600
952.0,1,,29,yes,urban,no,apartment,89900
1654.0,3,2.0,33,yes,downtown,yes,house,272900
993.0,2,1.0,21,yes,suburban,no,apartment,159100
1951.0,3,2.0,9,no,suburban,no,house,331300
1227.0,3,1.0,31,yes,rural,no,house,209300
1863.0,4,3.0,16,yes,suburban,yes,villa,385800
1020.0,1,1.0,29,no,urban,no,apartment,107700
1516.0,3,3.0,37,no,rural,no,house,208200
1490.0,3,3.0,37,no,urban,yes,villa,259300
1369.0,2,2.0,5,yes,suburban,yes,house,233200
1441.0,4,3.0,32,yes,suburban,no,apartment,216500
1198.0,2,2.0,19,yes,suburban,yes,house,137200
1365.0,3,2.0,9,no,suburban,yes,apartment,235000
2371.0,4,3.0,32,no,urban,no,house,384600
1563.0,3,3.0,37,no,urban,yes,apartment,175800
2144.0,5,4.0,28,yes,downtown,no,apartment,353400
2160.0,4,3.0,40,yes,rural,no,apartment,301800
1732.0,4,4.0,11,no,urban,yes,apartment,304700
2064.0,4,3.0,18,yes,suburban,yes,house,345300
1692.0,3,2.0,24,yes,rural,no,apartment,240900
1466.0,4,2.0,15,yes,urban,yes,villa,291800
1325.0,2,1.0,3,no,suburban,no,house,192800
1117.0,3,2.0,29,no,rural,no,house,165200
1023.0,3,2.0,22,no,urban,yes,apartment,147500
2419.0,6,4.0,16,no,suburban,no,apartment,399800
1455.0,4,2.0,14,no,suburban,yes,house,272600
1480.0,3,2.0,35,yes,urban,yes,house,231600
1923.0,4,3.0,32,no,urban,no,house,314300
500.0,1,1.0,38,yes,suburban,no,apartment,99000
1626.0,3,1.0,34,no,suburban,yes,apartment,213900
1583.0,2,1.0,13,yes,rural,yes,house,250800
1503.0,2,3.0,17,no,suburban,no,house,216000
1161.0,3,2.0,21,yes,urban,no,villa,217200
1247.0,2,2.0,21,no,suburban,yes,apartment,219700
1995.0,4,3.0,39,yes,rural,no,apartment,248300
2164.0,5,4.0,24,yes,suburban,no,apartment,347300
1796.0,4,3.0,22,yes,urban,yes,apartment,301500
1543.0,3,2.0,21,yes,urban,no,villa,322800
1504.0,2,1.0,13,yes,downtown,yes,villa,317600
1343.0,5,4.0,15,yes,suburban,yes,house,312100
884.0,2,1.0,30,yes,rural,yes,apartment,107200
1606.0,3,2.0,23,yes,downtown,yes,apartment,293600
,3,2.0,25,yes,suburban,yes,house,218500
562.0,1,1.0,25,no,suburban,yes,apartment,80200
1381.0,3,2.0,21,yes,rural,yes,apartment,237300
1215.0,3,2.0,17,no,downtown,no,apartment,202500
1293.0,3,3.0,5,no,urban,yes,house,280100
1296.0,1,2.0,9,yes,suburban,no,house,153600
,2,2.0,16,yes,downtown,no,apartment,195800
1156.0,2,2.0,6,no,suburban,yes,apartment,237000
1122.0,1,1.0,10,yes,downtown,no,apartment,156400
613.0,1,1.0,27,yes,rural,yes,apartment,51100
1610.0,3,2.0,2,yes,urban,yes,house,294700
1853.0,4,3.0,11,yes,urban,no,apartment,318200
1331.0,2,2.0,13,no,suburban,no,apartment,212400
1321.0,1,1.0,13,yes,rural,no,apartment,150400
1385.0,3,2.0,4,no,rural,no,apartment,280500
1535.0,3,2.0,1,no,urban,no,house,242800
847.0,2,1.0,32,yes,,yes,apartment,221800
1393.0,2,1.0,1,yes,urban,no,house,266700
1185.0,2,2.0,14,no,rural,yes,apartment,168900
894.0,3,3.0,40,yes,suburban,no,house,164000
1320.0,2,1.0,16,no,suburban,no,house,283700
954.0,2,1.0,13,yes,urban,no,apartment,159400
1219.0,2,1.0,19,no,suburban,yes,apartment,188000
1815.0,4,2.0,12,yes,suburban,yes,apartment,297300
2274.0,4,3.0,10,yes,suburban,yes,house,422700
1172.0,3,2.0,27,no,downtown,yes,house,201800
800.0,2,1.0,3,yes,urban,no,house,189200
2012.0,4,3.0,23,yes,urban,yes,house,311000
903.0,2,2.0,34,yes,downtown,yes,house,227500
1592.0,3,3.0,39,no,urban,no,apartment,224000
1460.0,3,2.0,11,no,rural,no,house,229700
1526.0,1,1.0,22,no,downtown,no,house,235600
1283.0,1,1.0,2,yes,suburban,yes,house,224700
774.0,3,2.0,31,yes,rural,yes,apartment,123300
1782.0,4,2.0,29,no,rural,yes,apartment,277800
1319.0,2,1.0,40,yes,urban,yes,villa,212300
943.0,4,2.0,21,no,urban,yes,apartment,218300
1513.0,2,2.0,28,yes,urban,no,house,260300
1052.0,2,1.0,20,yes,rural,no,house,144900
2557.0,5,4.0,32,yes,suburban,no,house,362300
,4,2.0,27,yes,suburban,yes,house,301000
979.0,2,1.0,29,yes,rural,no,apartment,67000
1358.0,3,3.0,13,yes,downtown,yes,apartment,246100
1102.0,3,2.0,7,no,suburban,yes,apartment,230700
974.0,2,2.0,0,no,rural,no,apartment,182400
986.0,1,1.0,7,yes,urban,yes,villa,199000
1278.0,3,2.0,2,yes,urban,yes,apartment,268800
1574.0,2,1.0,19,no,suburban,yes,villa,292600
1413.0,3,3.0,32,no,downtown,no,apartment,228500
1255.0,3,2.0,11,yes,rural,no,apartment,264400
1608.0,4,3.0,35,yes,suburban,no,house,256700
1941.0,4,3.0,2,yes,downtown,no,house,353100
1176.0,2,1.0,24,no,suburban,no,house,153700
2115.0,4,3.0,15,yes,downtown,yes,apartment,365800
2174.0,4,3.0,7,no,downtown,no,house,384300
958.0,2,1.0,17,no,suburban,yes,apartment,196000
1496.0,3,2.0,14,yes,suburban,no,house,263300
1338.0,3,2.0,38,yes,suburban,yes,apartment,162000
1700.0,3,2.0,23,yes,rural,no,apartment,221300
2230.0,5,5.0,10,yes,suburban,no,house,359700
1913.0,5,4.0,31,yes,,no,apartment,288100
1068.0,2,2.0,14,yes,urban,yes,apartment,238600
1736.0,4,3.0,36,no,suburban,yes,house,291400
1524.0,3,1.0,16,yes,urban,yes,apartment,306700
2392.0,5,4.0,2,yes,urban,no,apartment,462200
1510.0,4,3.0,16,yes,downtown,no,apartment,263400
1283.0,3,2.0,10,yes,urban,yes,house,225000
1541.0,3,2.0,4,no,rural,yes,apartment,220700
1438.0,2,1.0,17,yes,downtown,yes,apartment,271900
880.0,1,1.0,26,yes,suburban,no,house,114200
1171.0,1,1.0,23,yes,downtown,yes,apartment,193800
1057.0,2,1.0,12,no,suburban,no,apartment,138700
929.0,1,1.0,4,yes,rural,no,apartment,140500
871.0,2,1.0,0,yes,urban,yes,apartment,134200
1541.0,4,3.0,0,yes,rural,no,apartment,297100
1495.0,3,2.0,5,yes,urban,yes,house,293500
2124.0,4,3.0,40,yes,urban,yes,apartment,341800
993.0,2,1.0,17,yes,suburban,yes,house,172000
1156.0,2,1.0,35,yes,suburban,no,apartment,147600
1204.0,2,2.0,24,yes,rural,no,villa,246400
2270.0,5,3.0,25,yes,suburban,no,apartment,347500
1340.0,3,2.0,17,no,rural,no,apartment,232200
2137.0,3,2.0,8,yes,suburban,no,house,355800
500.0,1,1.0,18,yes,suburban,yes,apartment,99900
995.0,1,1.0,33,no,suburban,no,apartment,78900
2568.0,4,3.0,8,yes,suburban,yes,apartment,363600
1162.0,2,1.0,33,yes,downtown,yes,apartment,197300
1918.0,4,4.0,9,no,suburban,no,apartment,295200
1029.0,2,2.0,11,no,suburban,no,apartment,188900
768.0,1,1.0,34,no,suburban,no,house,89300
1690.0,3,2.0,10,no,suburban,no,apartment,232200
1549.0,4,3.0,30,yes,suburban,yes,apartment,278200
1516.0,3,2.0,0,yes,suburban,yes,apartment,278400
2547.0,5,3.0,40,no,downtown,no,apartment,363100
1086.0,2,2.0,27,no,urban,no,villa,202300
1400.0,3,2.0,26,no,rural,no,house,228500
2063.0,5,3.0,18,yes,urban,yes,house,382800
2124.0,5,3.0,7,no,suburban,yes,villa,385400
1141.0,2,1.0,12,yes,downtown,no,apartment,222000
1787.0,3,2.0,8,yes,urban,yes,house,317900
1566.0,4,3.0,16,no,rural,no,villa,310700
878.0,2,1.0,27,no,suburban,yes,apartment,143100
1901.0,5,3.0,12,no,rural,no,apartment,331600
1347.0,2,2.0,2,yes,urban,yes,house,264500
1307.0,2,2.0,10,yes,urban,yes,apartment,171700
1329.0,1,1.0,34,yes,downtown,no,house,240200
,3,2.0,17,yes,suburban,yes,apartment,293400
538.0,1,1.0,25,no,suburban,no,apartment,117100
1551.0,4,3.0,5,no,urban,no,apartment,315100
1138.0,2,1.0,20,no,urban,yes,apartment,80200
774.0,1,1.0,35,yes,urban,yes,house,120000
1168.0,2,1.0,4,no,downtown,yes,apartment,190400
1350.0,2,1.0,40,yes,urban,no,apartment,155900
1435.0,3,2.0,31,no,urban,no,villa,296600
905.0,2,1.0,23,no,urban,no,apartment,154700
1540.0,4,2.0,4,no,downtown,yes,apartment,296900
1309.0,3,2.0,30,yes,suburban,yes,house,212900
,1,1.0,3,yes,urban,no,apartment,170300
1406.0,2,2.0,21,yes,rural,no,apartment,212400
1568.0,3,2.0,12,yes,rural,yes,villa,236900
907.0,3,2.0,12,yes,downtown,no,villa,264200
2107.0,4,2.0,4,yes,suburban,yes,apartment,358000
2291.0,5,4.0,9,yes,downtown,yes,villa,456300
500.0,1,1.0,40,yes,urban,no,house,50000
1389.0,2,2.0,40,yes,urban,no,house,240300
838.0,4,2.0,22,yes,rural,no,apartment,107700
707.0,1,,39,yes,urban,no,apartment,129900
1876.0,3,2.0,23,yes,rural,yes,house,259200
1312.0,2,1.0,21,no,rural,no,house,213500
1239.0,2,2.0,8,yes,suburban,yes,house,172100
1684.0,3,2.0,34,yes,urban,yes,apartment,248600
1277.0,4,3.0,19,yes,rural,no,apartment,234500
685.0,1,1.0,14,yes,downtown,yes,house,146800
1206.0,2,2.0,3,yes,urban,yes,apartment,271300
2068.0,4,3.0,34,no,suburban,yes,apartment,301500
1432.0,3,3.0,32,yes,downtown,no,house,225700
1780.0,4,4.0,30,yes,suburban,yes,house,290700
1348.0,3,2.0,3,yes,suburban,yes,house,268000
620.0,1,1.0,21,no,suburban,no,apartment,70900
740.0,1,1.0,5,no,suburban,yes,apartment,127900
1737.0,4,3.0,37,no,downtown,yes,apartment,238900
1686.0,3,3.0,9,yes,urban,no,apartment,256900
2366.0,6,3.0,31,yes,urban,no,house,369800
1971.0,5,4.0,29,yes,urban,no,villa,328200
1400.0,2,2.0,9,yes,urban,no,house,246500
2035.0,4,3.0,36,no,suburban,yes,apartment,249100
500.0,3,1.0,9,no,urban,no,apartment,131600
1053.0,2,2.0,26,yes,suburban,no,apartment,167300
,2,2.0,40,yes,urban,no,house,144300
500.0,1,1.0,34,yes,urban,yes,house,100300
1469.0,3,3.0,40,yes,suburban,no,villa,231900
874.0,1,1.0,13,no,urban,no,apartment,160200
1391.0,2,1.0,38,yes,suburban,yes,house,216000
1877.0,4,3.0,39,yes,urban,no,villa,330600
952.0,2,2.0,15,yes,rural,yes,house,219600
1191.0,3,2.0,16,yes,suburban,yes,apartment,270900
1789.0,3,2.0,36,yes,downtown,yes,apartment,242900
817.0,3,3.0,24,yes,urban,yes,apartment,223500
2086.0,4,3.0,22,yes,suburban,yes,apartment,342800
1421.0,3,2.0,29,yes,rural,yes,apartment,243800
608.0,1,1.0,23,yes,rural,yes,villa,123400
1280.0,3,2.0,18,no,urban,no,apartment,245600
2037.0,4,3.0,14,yes,downtown,no,house,370800
937.0,2,1.0,39,no,suburban,no,apartment,90800
1875.0,3,2.0,5,yes,suburban,yes,house,290200
1100.0,2,,21,no,suburban,yes,house,217600
942.0,2,2.0,21,yes,urban,no,apartment,99400
1490.0,3,1.0,34,yes,suburban,no,house,273100
2002.0,4,3.0,3,yes,downtown,no,house,356300
977.0,2,2.0,35,no,suburban,no,house,96500
595.0,1,1.0,18,yes,suburban,yes,house,196600
1672.0,3,2.0,9,yes,suburban,yes,apartment,288900
1792.0,4,3.0,15,yes,suburban,yes,villa,347600
1609.0,3,3.0,5,no,urban,no,apartment,298700
1822.0,3,2.0,5,yes,suburban,no,villa,380000
1378.0,2,2.0,25,yes,rural,no,house,227200
1110.0,3,2.0,34,yes,suburban,no,house,196500
1267.0,3,3.0,4,yes,urban,no,apartment,237800
2217.0,5,4.0,10,no,suburban,no,house,408700
1319.0,3,2.0,35,no,suburban,no,apartment,185500
1537.0,4,3.0,19,yes,downtown,yes,house,257000
1731.0,5,4.0,39,no,downtown,yes,apartment,265500
1953.0,5,4.0,10,no,urban,yes,house,357300
1014.0,2,1.0,7,yes,urban,no,apartment,206900
1267.0,1,1.0,33,yes,rural,yes,apartment,182900
1040.0,2,2.0,20,yes,urban,yes,apartment,194900
2231.0,4,2.0,19,no,suburban,yes,apartment,290100
1399.0,2,1.0,13,no,urban,no,house,161600
1204.0,3,2.0,24,yes,rural,no,house,240000
2010.0,4,2.0,23,yes,downtown,no,apartment,286300
1301.0,2,2.0,12,yes,rural,yes,apartment,207400
1642.0,4,3.0,10,yes,suburban,yes,apartment,291300
2267.0,4,3.0,32,no,urban,yes,apartment,277900
2084.0,4,3.0,29,yes,suburban,yes,apartment,269800
2314.0,5,3.0,16,no,suburban,no,house,371300
1106.0,2,2.0,22,yes,suburban,yes,villa,247600
1181.0,4,2.0,34,yes,urban,no,apartment,189000
1551.0,5,4.0,3,no,suburban,yes,apartment,306700
1665.0,4,2.0,3,yes,urban,yes,house,277600
759.0,1,1.0,6,yes,downtown,no,house,188000
1394.0,4,2.0,9,no,urban,no,house,259200
2224.0,5,4.0,19,yes,suburban,no,apartment,368400
1515.0,2,1.0,39,no,rural,no,apartment,156500
1104.0,3,2.0,10,yes,suburban,yes,apartment,241400
1258.0,2,2.0,32,no,downtown,yes,house,222600
769.0,2,1.0,17,yes,urban,no,apartment,119000
2025.0,4,3.0,20,yes,rural,no,apartment,294800
1844.0,4,3.0,10,no,suburban,no,house,294800
572.0,1,2.0,25,yes,downtown,no,villa,309036
1819.0,3,1.0,32,yes,rural,yes,apartment,255900
1878.0,4,3.0,13,yes,urban,yes,villa,379600
2047.0,4,3.0,19,no,suburban,yes,apartment,370700
597.0,1,1.0,17,yes,downtown,yes,apartment,139500
2140.0,4,4.0,40,no,suburban,no,house,309900
2071.0,4,4.0,24,yes,rural,yes,apartment,327800
1487.0,3,1.0,15,yes,urban,yes,apartment,280500
1310.0,3,2.0,23,yes,downtown,no,house,214200
1015.0,2,1.0,39,no,suburban,yes,villa,159500
500.0,1,1.0,29,yes,suburban,no,villa,75500
1907.0,3,3.0,24,no,suburban,yes,villa,327000
500.0,1,1.0,28,yes,urban,no,house,100900
1388.0,3,2.0,13,yes,suburban,no,villa,260600
1802.0,4,3.0,36,yes,urban,yes,house,293200
1468.0,4,3.0,39,yes,suburban,no,house,260900
1839.0,3,2.0,33,yes,urban,no,house,274900
1399.0,2,1.0,22,yes,downtown,yes,apartment,203100
1033.0,1,1.0,8,yes,suburban,no,apartment,176600
1119.0,3,3.0,34,yes,rural,yes,villa,201700
856.0,2,1.0,13,no,urban,no,house,164000
1299.0,2,1.0,34,no,suburban,no,apartment,134600
989.0,3,2.0,34,yes,urban,no,apartment,189800
1965.0,3,2.0,22,no,rural,no,house,298300
833.0,3,2.0,38,no,suburban,no,apartment,124400
1371.0,3,2.0,26,no,suburban,yes,house,208800
1641.0,3,1.0,40,yes,rural,no,house,242000
1579.0,3,3.0,26,yes,urban,yes,house,261600
1960.0,5,3.0,25,no,urban,yes,house,275900
668.0,1,1.0,21,yes,rural,no,apartment,124300
862.0,1,1.0,18,yes,suburban,yes,house,144400
945.0,2,2.0,6,no,downtown,no,house,187400
1913.0,3,2.0,18,no,downtown,yes,house,315000
1408.0,3,1.0,22,yes,urban,no,house,242100
1267.0,2,1.0,28,yes,suburban,no,house,191400
1858.0,4,3.0,5,yes,suburban,no,apartment,295400
1624.0,3,3.0,30,yes,urban,yes,apartment,212100
645.0,1,1.0,18,yes,urban,yes,apartment,113900
1417.0,2,1.0,31,yes,urban,no,apartment,171600
,3,2.0,6,yes,downtown,yes,villa,336700
2231.0,4,3.0,23,no,suburban,no,apartment,312600
1722.0,3,2.0,31,yes,downtown,no,apartment,317000
1614.0,4,2.0,3,yes,rural,yes,apartment,301000
1582.0,3,2.0,23,yes,suburban,no,house,249400
922.0,2,2.0,15,yes,suburban,no,house,100300
653.0,1,1.0,38,yes,urban,no,apartment,69600
941.0,2,1.0,3,no,suburban,yes,house,158700
2140.0,4,3.0,5,no,urban,yes,villa,381300
1401.0,2,1.0,11,no,urban,no,apartment,197600
1364.0,3,2.0,2,yes,suburban,yes,house,227600
500.0,1,1.0,2,yes,downtown,no,apartment,153500
1270.0,3,1.0,32,no,suburban,no,house,147600
1221.0,3,2.0,37,yes,urban,no,villa,233100
828.0,2,1.0,10,yes,urban,no,house,144400
1015.0,2,2.0,20,yes,suburban,no,apartment,153000
1788.0,3,2.0,2,yes,urban,no,apartment,336500
1297.0,2,1.0,27,no,suburban,no,house,191400
730.0,2,2.0,20,yes,suburban,no,apartment,95900
1206.0,2,2.0,11,yes,urban,yes,apartment,238400
1344.0,2,1.0,1,yes,urban,no,apartment,196100
1125.0,3,2.0,19,yes,suburban,yes,house,228800
1492.0,3,2.0,17,yes,suburban,yes,house,270000
2004.0,3,2.0,5,yes,rural,yes,villa,329400
1677.0,4,3.0,15,no,downtown,no,villa,408600
500.0,1,1.0,38,no,suburban,no,house,79400
831.0,2,1.0,17,yes,downtown,no,apartment,154700
1217.0,2,2.0,32,yes,suburban,no,villa,140800
1690.0,3,2.0,34,no,urban,yes,house,202900
1966.0,4,2.0,0,no,rural,yes,house,320000
1594.0,3,3.0,3,yes,urban,yes,apartment,268500
1238.0,2,1.0,24,yes,suburban,no,apartment,208600
1960.0,3,2.0,22,no,downtown,yes,apartment,280200
2324.0,5,2.0,40,yes,urban,no,house,377700
817.0,1,2.0,28,no,urban,yes,apartment,63200
1214.0,2,1.0,22,no,suburban,no,apartment,191300
1523.0,4,3.0,39,yes,urban,no,apartment,220600
1475.0,2,1.0,4,yes,urban,yes,villa,308200
1597.0,3,3.0,3,yes,rural,yes,house,313500
1967.0,5,4.0,37,yes,urban,yes,house,313800
1459.0,5,4.0,0,no,urban,no,villa,334200
1003.0,1,1.0,33,no,rural,no,apartment,76800
1970.0,4,3.0,26,yes,suburban,yes,house,298800
1574.0,3,2.0,10,yes,downtown,no,apartment,297000
1828.0,3,2.0,33,yes,rural,yes,apartment,234400
500.0,1,1.0,4,yes,rural,no,house,146200
1104.0,2,1.0,8,yes,rural,no,apartment,180100
2663.0,5,4.0,30,no,suburban,yes,apartment,443900
752.0,2,1.0,11,yes,suburban,no,house,125400
550.0,1,1.0,31,yes,urban,no,house,162700
1447.0,3,1.0,40,yes,downtown,no,house,197000
1942.0,2,2.0,14,yes,rural,yes,villa,339900
787.0,2,2.0,28,yes,urban,yes,house,176300
1312.0,1,1.0,18,yes,downtown,yes,apartment,227000
1537.0,4,4.0,33,yes,urban,no,house,290900
1454.0,3,2.0,21,no,rural,no,apartment,176000
1816.0,3,2.0,39,no,downtown,no,house,290900
2439.0,5,3.0,4,yes,urban,no,apartment,448300
1618.0,3,2.0,1,yes,suburban,yes,apartment,265300
1425.0,3,2.0,33,yes,suburban,yes,house,240800
